縣市,死傷人數,緯度,經度
桃園縣蘆竹鄉中山路,206,25.0537245,121.2996822
桃園市桃園區國強一街,206,24.9923133,121.2835817
桃園市八德區忠勇街,206,24.9635912,121.3040647
桃園縣蘆竹鄉南青路,204,25.0469858,121.2510029
桃園縣八德市福德一路,204,24.9635818,121.3263913
桃園市桃園區中正三街,204,25.0001138,121.3016954
桃園市龍潭區神龍路,204,24.8603989,121.2132695
桃園市中壢區健行路,204,24.9499338,121.2271584
桃園縣中壢市自強一路,202,24.9732389,121.2444036
桃園縣平鎮市中興路平鎮段,202,24.897062,121.1937957
桃園縣八德市茄苳路,202,24.9754798,121.2791717
桃園市蘆竹區龍安街,202,24.9902776,121.2798158
桃園市八德區福德一路,201,24.9635818,121.3263913
桃園縣楊梅市秀才路,200,24.8953942,121.137771
桃園市蘆竹區新南路,200,25.0421413,121.2955188
桃園市八德區重慶街,199,24.956295,121.3031648
桃園市蘆竹區南青路,199,25.0469858,121.2510029
桃園市楊梅區中興路,198,24.9132828,121.187238
桃園市桃園區大林路,197,24.9877565,121.3145813
桃園縣平鎮市快速路,196,24.9175094,121.224411
桃園縣中壢市中豐北路,196,24.9608415,121.2197773
桃園縣桃園市中華路,196,24.9905684,121.3097625
桃園縣蘆竹鄉富國路,196,25.0180155,121.2840978
桃園縣大溪鎮信義路,196,24.8941952,121.3095053
桃園市大園區華興路,195,25.0610228,121.1942888
桃園縣大園鄉華興路,194,25.0610228,121.1942888
桃園縣龜山鄉光峰路,194,25.0014773,121.342735
桃園市桃園區正光路,194,24.9991798,121.2949237
桃園市八德區福國街,192,24.9571593,121.2932816
桃園市桃園區樹仁三街,191,24.9739389,121.316356
桃園市桃園區宏昌六街,191,24.9873673,121.2936019
桃園市蘆竹區中山路,191,25.0537245,121.2996822
桃園縣八德市義勇街,190,24.9636923,121.3034932
桃園縣中壢市普義路,190,24.9601231,121.2321054
桃園市龍潭區聖亭路八德段,190,24.8803708,121.1991919
桃園市桃園區中華路,189,24.9905684,121.3097625
桃園縣中壢市龍昌路,188,24.9347341,121.2494564
桃園市八德區東勇北路,188,24.969444,121.3068419
桃園市大園區中山北路,187,25.0708998,121.1920213
桃園市中壢區志廣路,187,24.961988,121.2055421
桃園縣楊梅市梅高路,186,24.9199524,121.1457791
桃園市中壢區中央東路,186,24.9564715,121.2257478
桃園縣龍潭鄉龍華路,184,24.8600421,121.2176308
桃園縣龍潭鄉成功路,184,24.8804432,121.2292632
桃園市桃園區大興西路一段,183,25.0142472,121.304746
桃園縣楊梅市中山路,182,24.9066964,121.1449939
桃園縣蘆竹鄉中正北路,182,25.0397432,121.2816253
桃園縣復興鄉台7線,182,24.6988716,121.3745165
桃園市平鎮區振興西路,182,24.9462388,121.213705
桃園市龜山區明德路,181,24.9904084,121.3429096
桃園市新屋區中山路,180,24.9727633,121.1047454
桃園縣龍潭鄉福龍路二段,178,24.8864438,121.2221842
桃園縣桃園市興邦路,172,24.9823699,121.3245506
桃園縣桃園市寶山街,172,25.0118142,121.3148386
桃園縣桃園市中正五街,170,25.0029945,121.3018344
桃園市八德區大興路,170,24.944446,121.3014889
桃園市大溪區大鶯路,170,24.9128232,121.2978211
桃園市龍潭區龍華路,169,24.8600421,121.2176308
桃園縣新屋鄉中興路,168,24.9608282,121.0936238
桃園市蘆竹區文中路,167,24.9950151,121.2837662
桃園縣大園鄉台15線,166,25.0659561,121.184855
桃園縣龜山鄉南上路,166,25.0457073,121.3032642
桃園市龜山區南上路,166,25.0457073,121.3032642
桃園縣龜山鄉建國東路,164,24.9862598,121.3217704
桃園縣龍潭鄉楊銅路,164,24.8664151,121.1855525
桃園市中壢區中福路,164,24.9715005,121.2295758
桃園市龍潭區龍源路,162,24.8208447,121.2174078
桃園市楊梅區秀才路,161,24.8953942,121.137771
桃園市中壢區華勛街,161,24.9467614,121.2599847
桃園市平鎮區快速路,160,24.9175094,121.224411
桃園市楊梅區民富路,159,24.920978,121.1277365
桃園市蘆竹區南工路,159,25.0542397,121.2722202
桃園縣大園鄉台61線,158,25.0824102,121.1787564
桃園縣桃園市中山東路,158,24.9967108,121.3171874
桃園縣平鎮市振興西路,158,24.9462388,121.213705
桃園縣蘆竹鄉新興街,158,25.0087668,121.26694
桃園市平鎮區中興路平鎮段,158,24.897062,121.1937957
桃園市蘆竹區油管路,158,25.0570109,121.2918911
桃園市楊梅區瑞溪路,158,24.9071639,121.1717219
桃園市楊梅區梅高路,157,24.9199524,121.1457791
桃園縣中壢市志廣路,156,24.961988,121.2055421
桃園市平鎮區台66線路,156,24.9296022,121.2053963
桃園市楊梅區中山路,156,24.9066964,121.1449939
桃園市八德區龍南路,156,24.9170996,121.2555781
桃園縣桃園市大林路,154,24.9877565,121.3145813
桃園縣八德市大興路,154,24.944446,121.3014889
桃園縣蘆竹鄉中興路,154,25.0106316,121.2585185
桃園縣楊梅市楊新北路,154,24.912629,121.1519367
桃園縣龜山鄉頂興路,154,24.9901738,121.3285006
桃園縣蘆竹鄉龍安街,154,24.9902776,121.2798158
桃園市桃園區縣府路,153,24.9925084,121.3005067
桃園縣中壢市忠孝路,152,24.978342,121.2544885
桃園縣大溪鎮大鶯路,152,24.9128232,121.2978211
桃園縣新屋鄉中華南路,152,24.9545256,121.1176668
桃園縣桃園市大智路,152,24.9778725,121.3250368
桃園市中壢區文中路,151,24.9903659,121.2623147
桃園縣楊梅市環東路,150,24.904353,121.1544641
桃園縣龜山鄉文化七路,150,25.051566,121.3643624
桃園市中壢區普義路,150,24.9601231,121.2321054
桃園縣大園鄉五青路,148,25.019945,121.2328008
桃園縣龜山鄉自強東路,148,24.9958151,121.3436588
桃園縣八德市重慶街,148,24.956295,121.3031648
桃園縣楊梅市瑞溪路,148,24.9071639,121.1717219
桃園縣桃園市建國東路,148,24.9862598,121.3217704
桃園市蘆竹區富國路,147,25.0180155,121.2840978
桃園縣蘆竹鄉忠孝西路,146,25.0423652,121.2908456
桃園縣龜山鄉青山路,146,25.0355968,121.391736
桃園縣桃園市縣府路,146,24.9925084,121.3005067
桃園市大溪區石園路,146,24.8697369,121.2589227
桃園市桃園區中平路,146,24.9883509,121.2926627
桃園市中壢區領航南路,146,25.0008913,121.2069315
桃園市蘆竹區山林路,146,25.082444,121.3055792
桃園縣龍潭鄉中豐路中山段,144,24.8668143,121.2106723
桃園縣八德市福國街,144,24.9571593,121.2932816
桃園市平鎮區三興路,144,24.9071587,121.217382
桃園市平鎮區廣泰路,144,24.945087,121.2039251
桃園市平鎮區振興路,144,24.945485,121.2195082
桃園縣中壢市榮安一街,142,24.9641747,121.2568121
桃園縣楊梅鎮中山北路,142,24.9103738,121.1732477
桃園縣楊梅市校前路,142,24.9027439,121.1489296
桃園縣中壢市高鐵南路,142,25.0029841,121.2046493
桃園市蘆竹區中興路,142,25.0106316,121.2585185
桃園市楊梅區校前路,141,24.9027439,121.1489296
桃園縣桃園市新埔六街,140,25.0153807,121.3020266
桃園縣龜山鄉復興三路,140,25.0465582,121.3700338
桃園縣蘆竹鄉光明路,140,25.0485111,121.288417
桃園市楊梅區中山南路,140,24.9023333,121.1248399
桃園市龜山區青山路,140,25.0289175,121.4049622
桃園市中壢區實踐路,140,24.9553644,121.2409052
桃園縣蘆竹鄉山林路,138,25.082444,121.3055792
桃園縣八德市大福街,138,24.9724523,121.2999422
桃園縣中壢市華勛街,138,24.9467614,121.2599847
桃園縣蘆竹鄉南工路,138,25.0542397,121.2722202
桃園縣大溪鎮石園路,138,24.8697369,121.2589227
桃園縣楊梅市中興路,136,24.9132828,121.187238
桃園市龍潭區中豐路中山段,136,24.8668143,121.2106723
桃園市桃園區中正五街,136,25.0029945,121.3018344
桃園市龍潭區楊銅路,136,24.8664151,121.1855525
桃園市平鎮區中庸路,135,24.9133722,121.2063769
桃園縣桃園市健行路,134,25.0222382,121.3105554
桃園縣中壢市中和路,132,24.9540084,121.2260386
桃園市平鎮區東豐路,132,24.902145,121.2211342
桃園市中壢區東園路,132,24.9762532,121.2396582
桃園市中壢區領航北路,131,25.0092762,121.2045318
桃園市蘆竹區光明路,131,25.044341,121.2903205
桃園市中壢區中和路,131,24.9540084,121.2260386
桃園縣中壢市莊敬路,130,24.9667438,121.2572952
