桃園縣龍潭鄉福龍路三段,116
桃園縣平鎮市廣泰路,116
桃園縣中壢市中福路,116
桃園市觀音區忠愛路,116.0
桃園市蘆竹區忠孝西路,116.0
桃園市中壢區龍慈路,116.0
桃園市新屋區三民路,115.0
桃園縣桃園市榮華街,114
桃園縣龍潭鄉民生路,114
桃園縣桃園市中埔一街,114
桃園縣桃園市大仁路,114
桃園市中壢區新明路,114.0
桃園市桃園區民權路,113.0
桃園縣中壢市新明路,112
桃園縣中壢市龍興路,112
桃園縣八德市榮興路,112
桃園縣龍潭鄉民族路,112
桃園縣蘆竹鄉大竹北路,112
桃園縣大園鄉中正西路,112
桃園市楊梅區楊新北路,112.0
桃園市中壢區新興路,111.0
桃園市桃園區中埔一街,111.0
桃園縣桃園市泰昌三街,110
桃園縣龜山鄉中和南路,110
桃園市龜山區復興三路,110.0
桃園市龍潭區文化路,110.0
桃園市龍潭區中正路三林段,109.0
桃園縣新屋鄉台66線,108
桃園縣平鎮市和平路,108
桃園縣大園鄉民生路,108
桃園市大園區民生路,108.0
桃園市桃園區昆明路,108.0
桃園市中壢區龍興路,108.0
桃園市桃園區民安路,107.0
桃園市中壢區成功路,107.0
桃園縣龍潭鄉梅龍路,106
桃園縣桃園市民光東路,106
桃園縣龜山鄉文明路,106
桃園縣桃園市中山北路,106
桃園縣中壢市慈惠三街,106
桃園縣楊梅市萬大路,106
桃園市桃園區中山北路,106.0
桃園市中壢區廣州路,106.0
桃園市龜山區文化七路,106.0
桃園市桃園區國際路二段,106.0
桃園市大溪區文化路,105.0
桃園市中壢區長春路,105.0
桃園市八德區崁頂路,105.0
桃園縣中壢市龍慈路,104
桃園縣平鎮市中庸路,104
桃園縣中壢市新興路,104
桃園縣中壢市東園路,104
桃園市桃園區新埔六街,104.0
桃園市桃園區青田街,104.0
桃園市中壢區義民路,104.0
桃園市平鎮區自由街,104.0
桃園市龍潭區五福街,103.0
桃園市桃園區泰昌三街,103.0
桃園市大溪區瑞安路,103.0
桃園縣桃園市國聖一街,102
桃園縣八德市和強路,102
桃園縣龍潭鄉健行路,102
桃園縣中壢市義民路,102
桃園縣新屋鄉民族路,102
桃園市桃園區長沙街,102.0
桃園市中壢區慈惠三街,102.0
桃園市中壢區永清街,102.0
桃園市龍潭區健行路,102.0
桃園市平鎮區洪圳路,102.0
桃園市八德區豐德路,101.0
桃園市桃園區延壽街,101.0
桃園市蘆竹區新生路,101.0
桃園縣大園鄉新生路,100
桃園縣大溪鎮慈光街,100
桃園市桃園區大原路,100.0
桃園市龍潭區民生路,100.0
桃園市桃園區北埔路,100.0
桃園市八德區大福街,100.0
桃園市中壢區高鐵北路,100.0
桃園市桃園區永安北路,99.0
桃園市蘆竹區六福路,99.0
桃園市中壢區長沙路,99.0
桃園市八德區榮興路,99.0
桃園市楊梅區環東路,99.0
桃園縣龜山鄉頂湖路,98
桃園縣桃園市樹仁二街,98
桃園縣龍潭鄉五福街,98
桃園市桃園區樹仁二街,97.0
桃園市平鎮區義民路,97.0
桃園市平鎮區廣德街,97.0
桃園市新屋區中華南路,97.0
